"","X","Unnamed..0","BrefID","Year","BibLvlCode","StandardTitle","RefStrFull","AbstractEnglish","Refstringauthors","WoScode","FullAut","Affiliation","DOI","ownDOI","spcolNames","GeoTerms","TaxTerms","ThesTerms","OtherTerms","AuthorKeywords","DocType","LitStyles","ThesisDegree","wos_affil","wos_country","wos_keywords","wos_plus_keywords","wos_categories","wos_researcharea","stand_affil","similarity_method","stand_country","stand_flemish","stand_GROUP","stand_QH","result_status","result"
"55",358,358,251096,2015,"AM","Mariene data en informatie","<b>Goffin, A.; Deneudt, K.; Lust, H.; Lescrauwaet, A.-K.</b> (2015). Mariene data en informatie, <b><i>in</i></b>: Pirlet, H. <i>et al.</i> (Ed.) <i>Compendium voor Kust en Zee 2015: Een geÃ¯ntegreerd kennisdocument over de socio-economische, ecologische en institutionele aspecten van de kust en zee in Vlaanderen en BelgiÃ«.</i> pp. 247-256","","Goffin, A.; Deneudt, K.; Lust, H.; Lescrauwaet, A.-K.","","Deneudt, Klaas, K.","Vlaams Instituut voor de Zee (VLIZ)","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Book chapters","","","","","","","","","Flanders Marine Institute (VLIZ)","","","","","","OK","{}"
"56",362,362,251276,2015,"AM","Marine data and information","<b>Goffin, A.; Deneudt, K.; Lust, H.; Lescrauwaet, A.-K.</b> (2015). Marine data and information, <b><i>in</i></b>: Pirlet, H. <i>et al.</i> (Ed.) <i>Compendium for Coast and Sea 2015: An integrated knowledge document about the socio-economic, environmental and institutional aspects of the coast and sea in Flanders and Belgium.</i> pp. 243-252","","Goffin, A.; Deneudt, K.; Lust, H.; Lescrauwaet, A.-K.","","Goffin, Annelies, A.","Flanders Marine Institute (VLIZ)","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Book chapters","","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"57",366,366,251609,2015,"AS","How Aphia - the platform behind several online and taxonomically oriented databases - can serve both the taxonomic community and the field of biodiversity informatics","<b>Vandepitte, L.; Vanhoorne, B.; Decock, W.; Dekeyzer, S.; Trias Verbeeck, A.; Bovit, L.; Hernandez, F.; Mees, J.</b> (2015). How Aphia - the platform behind several online and taxonomically oriented databases - can serve both the taxonomic community and the field of biodiversity informatics. <i>J. Mar. Sci. Eng. 3(4)</i>: 1448-1473. <a href=""https://hdl.handle.net/10.3390/jmse3041448"" target=""_blank"">https://hdl.handle.net/10.3390/jmse3041448</a>","The Aphia platform is an infrastructure designed to capture taxonomic and related data and information, and includes an online editing environment. The latter allows easy access to experts so they can update the content of the database in a timely fashion. Aphia is the core platform that underpins the World Register of Marine Species (WoRMS) and its more than 80 related global, regional and thematic species databases, but it also allows the storage of non-marine data. The content of Aphia can be consulted online, either by individual users or via machine-to-machine interactions. Aphia uses unique and stable identifiers for each available name in the database through the use of Life Science Identifiers (LSIDs). The system not only allows the storage of accepted and unaccepted names, but it also documents the relationships between names. This makes it a very powerful tool for taxonomic quality control, and also allows the linking of different pieces of information through scientific names, both within the Aphia platform and in relation to externally hosted databases. Through these LSIDs, Aphia has become an important player in the field of (marine) biodiversity informatics, allowing interactions between its own taxonomic data and e.g., biogeographic databases. Some applications in the field of biodiversity informatics encompass the coupling of species traits and taxonomy, as well as the creation of diverse, expert validated data products that can be used by policy makers, for example. Aphia also supplies (part of) its content to other data integrators and the infrastructure can be used to host orphan databases in danger of being lost.","Vandepitte, L.; Vanhoorne, B.; Decock, W.; Dekeyzer, S.; Trias Verbeeck, A.; Bovit, L.; Hernandez, F.; Mees, J.","WOS:000435684900016","Vandepitte, Leen, L.","Flanders Marine Institute/Vlaams Instituut voor de Zee (VLIZ)","https://hdl.handle.net/10.3390/jmse3041448","","Interim Register of Marine and Nonmarine Genera (IRMNG) acknowledged, ""Lifewatch acknowledged"", ""LifeWatch Species Information Backbone"", ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","",""," Aphia; taxonomy; biodiversity informatics; online database; online editing environment; data rescue; World Register of Marine Species; web services","Journal article","","","Vlaams Inst Zee VLIZ, Flanders Marine Inst, Wandelaarkaai 7, B-8400 Oostende, Belgium.","Belgium","Aphia; taxonomy; biodiversity informatics; online database; online editing environment; data rescue; World Register of Marine Species; web services","","Engineering, Marine; Engineering, Ocean; Oceanography","Engineering; Oceanography","Flanders Marine Institute (VLIZ)","","","","","","OK","{'SDG_14': 1.0}"
"58",378,378,252307,2016,"AS","GPS tracking data of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast","<b>Stienen, E.W.M.; Desmet, P.; Aelterman, B.; Courtens, W.; Feys, S.; Vanermen, N.; Verstraete, H.; Van de walle, M.; Deneudt, K.; Hernandez, F.; Houthoofdt, R.; Vanhoorne, B.; Bouten, W.; Buijs, R.-J.; Kavelaars, M.; MÃ¼ller, W.; Herman, D.; Matheve, H.; Sotillo, A.; Lens, L.</b> (2016). GPS tracking data of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast. <i>ZooKeys 555(555)</i>: 115-124. <a href=""https://hdl.handle.net/10.3897/zookeys.555.6173"" target=""_blank"">https://hdl.handle.net/10.3897/zookeys.555.6173</a>","In this data paper, Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast is described, a species occurrence dataset published by the Research Institute for Nature and Forest (INBO). The dataset (version 5.5) contains close to 2.5 million occurrences, recorded by 101 GPS trackers mounted on 75 Lesser Black-backed Gulls and 26 Herring Gulls breeding at the Belgian and Dutch coast. The trackers were developed by the University of Amsterdam Bird Tracking System (UvA-BiTS, http://www.uva-bits.nl). These automatically record and transmit bird movements, which allows us and others to study their habitat use and migration behaviour in great detail. Our bird tracking network is operational since 2013. It is funded for LifeWatch by the Hercules Foundation and maintained in collaboration with UvA-BiTS and the Flanders Marine Institute (VLIZ). The recorded data are periodically released in bulk as open data (http://dataset.inbo.be/bird-tracking-gull-occurrences), and are also accessible through CartoDB and the Global Biodiversity Information Facility (GBIF).","Stienen, E.W.M.; Desmet, P.; Aelterman, B.; Courtens, W.; Feys, S.; Vanermen, N.; Verstraete, H.; Van de walle, M.; Deneudt, K.; Hernandez, F.; Houthoofdt, R.; Vanhoorne, B.; Bouten, W.; Buijs, R.-J.; Kavelaars, M.; MÃ¼ller, W.; Herman, D.; Matheve, H.; Sotillo, A.; Lens, L.","WOS:000368401600006","Herman, David, D.","Terrestrial Ecology Unit (TEREC), Ghent University","https://hdl.handle.net/10.3897/zookeys.555.6173","","Lifewatch acknowledged, ""LifeWatch Observatory""","","Larus argentatus Pontoppidan, 1763, ""Larus fuscus Linnaeus, 1758""","Migration, ""Observation"", ""Occurrence""","","Animal movement; Bird tracking; GPS tracking; Habitat use; Lesser Black-backed Gull; Herring Gull; UvA-BiTS; LifeWatch; Open data, MachineObservation ","Data paper","","","Res Inst Nat & Forest INBO, Klin Str 25, B-1070 Brussels, Belgium.","Belgium","Animal movement; bird tracking; GPS tracking; habitat use; migration; Lesser Black-backed Gull; Larus fuscus; Herring Gull; Larus argentatus; UvA-BiTS; LifeWatch; open data; MachineObservation; occurrence; observation","","Zoology","Zoology","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) ","","Belgium","x","Research institute","Science","OK","{'SDG_14': 5.0, 'SDG_2': 3.0, 'SDG_15': 1.0}"
"59",380,380,252343,2016,"M","NoSeaQL - Een Big-Data oplossing voor mariene data, verkennen en gebruik maken van moderne databse technologieÃ«n = NoSeaQL - A Big-Data solution for marine sampling data, exploring and using modern database technologies","<b>Hernandez, F.L.</b> (2016). NoSeaQL - Een Big-Data oplossing voor mariene data, verkennen en gebruik maken van moderne databse technologieÃ«n = NoSeaQL - A Big-Data solution for marine sampling data, exploring and using modern database technologies. BA Thesis. VIVES: Kortrijk.  83 pp.","","Hernandez, F.L.","","Hernandez, Francisco Lucas, F.L.","","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Book/Monograph","Dissertation","BA","","","","","","","","","","","","","OK","{}"
"60",395,395,252743,2016,"AMS","The LifeWatch infrastructure (demo through poster series)","<b>Dekeyzer, S.; Deneudt, K.; Vandepitte, L.; Goffin, A.; Claus, S.; Hernandez, F.</b> (2016). The LifeWatch infrastructure (demo through poster series), <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 43","","Dekeyzer, S.; Deneudt, K.; Vandepitte, L.; Goffin, A.; Claus, S.; Hernandez, F.","","Hernandez, Francisco, F.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology"", ""LifeWatch Observatory""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"61",396,396,252755,2016,"AMS","Lifewatch acoustic receiver network: setup of a PostgreSQL database, web interface and collaborative environment to cope with big data","<b>Reubens, J.; Verhelst, P.V.; Deneudt, K.; Hernandez, F.</b> (2016). Lifewatch acoustic receiver network: setup of a PostgreSQL database, web interface and collaborative environment to cope with big data, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 93","","Reubens, J.; Verhelst, P.V.; Deneudt, K.; Hernandez, F.","","Hernandez, Francisco, F.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","Sensors","","Acoustic receivers; Big data; Collaborative environment; Database","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"62",398,398,252772,2016,"AMS","A marine species benchmark dataset for ecological modelling","<b>Bosch, S.; Tyberghein, L.; De Clerck, O.</b> (2016). A marine species benchmark dataset for ecological modelling, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 21","","Bosch, S.; Tyberghein, L.; De Clerck, O.","","Tyberghein, Lennert, L.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged","","","","","sdm; enm; benchmark","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"63",399,399,252789,2016,"AMS","Long-term phytoplankton monitoring data (1970-2015) from the Belgian North Sea reveal shifts in community composition and seasonal dynamics","<b>Nohe, A.; Lagring, R.; De Cauwer, K.; Goffin, A.; Tyberghein, L.; Deneudt, K.; Vyverman, W.; Sabbe, K.</b> (2016). Long-term phytoplankton monitoring data (1970-2015) from the Belgian North Sea reveal shifts in community composition and seasonal dynamics, <b><i>in</i></b>: Mees, J. <i>et al.</i> <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 83","","Nohe, A.; Lagring, R.; De Cauwer, K.; Goffin, A.; Tyberghein, L.; Deneudt, K.; Vyverman, W.; Sabbe, K.","","Sabbe, Koen, K.","Protistology and Aquatic Ecology, Department of Biology, Ghent University","","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology"", ""LifeWatch Observatory""","","Bacillariophyceae, ""Dinoflagellata""","","","Belgian North Sea; biodiversity; diatoms; dinoflagellates; time-series analysis","Book chapters","Summary","","","","","","","","Ghent University - Faculty of Sciences - Biology Department - Protistology & Aquatic Ecology (PAE)","","Belgium","x","Research institute","Science","OK","{'SDG_14': 1.0}"
"64",401,401,252817,2016,"AMS","Marine data archeology: a heritage for future science","<b>Goffin, A.; Knockaert, C.; Dewitte, E.</b> (2016). Marine data archeology: a heritage for future science, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 55","","Goffin, A.; Knockaert, C.; Dewitte, E.","","Goffin, Annelies, A.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology""","","","","","data archeology, historic, marine, biodiversity, standardization, data publication, archive","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"65",402,402,252820,2016,"AMS","HPLC-pigment fingerprinting for long-term monitoring of coastal phytoplankton","<b>De Blok, R.; Nohe, A.; Tyberghein, L.; Deneudt, K.; Mortelmans, J.; Gkritzalis, T.; Sabbe, K.; Vyverman, W.</b> (2016). HPLC-pigment fingerprinting for long-term monitoring of coastal phytoplankton, <b><i>in</i></b>: Mees, J. <i>et al.</i> <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 34","","De Blok, R.; Nohe, A.; Tyberghein, L.; Deneudt, K.; Mortelmans, J.; Gkritzalis, T.; Sabbe, K.; Vyverman, W.","","Tyberghein, Lennert, L.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","HPLC; pigment-fingerprinting; coastal; Belgian Continental Zone; phytoplankton; CHEMTAX","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"66",403,403,252827,2016,"AMS","VLIZ-philanthropy: the sea as a good cause","<b>Vanhaecke, D.; Mertens, T.; Seys, J.; Vandepitte, L.; Mees, J.</b> (2016). VLIZ-philanthropy: the sea as a good cause, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 128","","Vanhaecke, D.; Mertens, T.; Seys, J.; Vandepitte, L.; Mees, J.","","Vandepitte, Leen, L.","Flanders Marine Institute","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","VLIZ philanthropy; donations; projects; SeaWatch-B; WoRMS","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"67",404,404,252834,2016,"AMS","MarineRegions.org: a standard list of marine georeferenced place names and areas","<b>Oset Garcia, P.; Claus, S.; De Hauwere, N.; Vanhoorne, B.; Souza Dias, F.; Hernandez, F.; Mees, J.</b> (2016). MarineRegions.org: a standard list of marine georeferenced place names and areas, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 86","","Oset Garcia, P.; Claus, S.; De Hauwere, N.; Vanhoorne, B.; Souza Dias, F.; Hernandez, F.; Mees, J.","","Souza Dias, Francisco, F.","Flanders Marine Institute (VLIZ)","","","LifeWatch Species Information Backbone, ""Marine Regions acknowledged""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"68",405,405,252836,2016,"AMS","Building an online and interactive scientific data explorer for LifeWatch observatory data","<b>Deneudt, K.; Maes, P.; Vanhoorne, B.; Hernandez, F.</b> (2016). Building an online and interactive scientific data explorer for LifeWatch observatory data, <b><i>in</i></b>: Mees, J. <i>et al.</i> <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 47","","Deneudt, K.; Maes, P.; Vanhoorne, B.; Hernandez, F.","","Deneudt, Klaas, K.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_9': 1.0, 'SDG_11': 1.0}"
"69",406,406,252838,2016,"AMS","Using VLIZ online DOI data publication service to publish research data as a citable and traceable dataset","<b>Goffin, A.; De Pooter, D.; Deneudt, K.</b> (2016). Using VLIZ online DOI data publication service to publish research data as a citable and traceable dataset, <b><i>in</i></b>: Mees, J. <i>et al.</i> (Ed.) <i>Book of abstracts â€“ VLIZ Marine Scientist Day. Brugge, Belgium, 12 February 2016. VLIZ Special Publication,</i> 75: pp. 54","","Goffin, A.; De Pooter, D.; Deneudt, K.","","De Pooter, Daphnis, D.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology""","","","","","Data publication, citation, DOI, dataset, credit, data author","Book chapters","Summary","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{}"
"70",407,407,252938,2015,"MS","Monitoring van de visgemeenschap in het Zeeschelde-estuarium. Ankerkuilcampagnes 2015","<b>Breine, J.; De Bruyn, A.; Galle, L.; Lambeens, I.; Maes, Y.; Pauwels, I.; Van Thuyne, G.</b> (2015). Monitoring van de visgemeenschap in het Zeeschelde-estuarium. Ankerkuilcampagnes 2015. <i>Rapport van het Instituut voor Natuur- en Bosonderzoek</i>, INBO.R.2015.11338975. Instituut voor Natuur- en Bosonderzoek: Brussel.  60 + bijlagen pp.","","Breine, J.; De Bruyn, A.; Galle, L.; Lambeens, I.; Maes, Y.; Pauwels, I.; Van Thuyne, G.","","Breine, Jan, J.","Instituut voor Natuur- en Bosonderzoek","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Reports","","","","","","","","","Research Institute for Nature and Forest (INBO)","","","","","","OK","{}"
"71",446,446,253245,2016,"M","Marine migration routes of North-western European silver eel (<i>Anguilla anguilla</i> L.)","<b>Verhelst, P.; Huisman, J.; Reubens, J.; Goethals, P.L.M.; Moens, T.; Mouton, A.M.</b> (2016). Marine migration routes of North-western European silver eel (<i>Anguilla anguilla</i> L.). Poster at the VLIZ Marine Scientist Day 12 February 2016. Marine Biology, Ghent University: Gent.  1 poster pp.","","Verhelst, P.; Huisman, J.; Reubens, J.; Goethals, P.L.M.; Moens, T.; Mouton, A.M.","","Verhelst, Pieterjan, P.","Research Institute for Nature and Forest (INBO)","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Ephemera","Poster","","","","","","","","INBO Research Institute for Nature and Forest","","Belgium","x","Research institute","Science","OK","{}"
"72",447,447,253293,2016,"M","Long-term phytoplankton monitoring data (1970- 2010) from the Belgian North Sea reveal shifts in community composition and seasonal dynamics","<b>Nohe, A.; Lagring, R.; De Cauwer, K.; Goffin, A.; Tyberghein, L.; Deneudt, K.; Vyverman, W.; Sabbe, K.</b> (2016). Long-term phytoplankton monitoring data (1970- 2010) from the Belgian North Sea reveal shifts in community composition and seasonal dynamics. Poster at the VLIZ Marine Scientist Day 12 February 2016. Ghent University: Gent. 1 poster pp.","","Nohe, A.; Lagring, R.; De Cauwer, K.; Goffin, A.; Tyberghein, L.; Deneudt, K.; Vyverman, W.; Sabbe, K.","","Goffin, Annelies, A.","Flanders Marine Institute (VLIZ)","","","Lifewatch acknowledged, ""LifeWatch Marine Data Archeology"", ""LifeWatch Observatory""","","","","","","Ephemera","Poster","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_14': 1.0}"
"73",36,36,257148,2015,"AS","Towards a seaweed trait database for European species","<b>Robuchon, M.; Vranken, S.; Vandepitte, L.; Dekeyzer, S.; Julliard, R.; Le Gall, L.; De Clerck, O.</b> (2015). Towards a seaweed trait database for European species. <i>Eur. J. Phycol. 50(Supplement 1)</i>: 196-196","","Robuchon, M.; Vranken, S.; Vandepitte, L.; Dekeyzer, S.; Julliard, R.; Le Gall, L.; De Clerck, O.","WOS:000360244400364","De Clerck, Olivier, O.","Center for Molecular Phylogenetics and Evolution, Ghent University","","","Lifewatch acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Journal article","","","","na","","","Plant Sciences; Marine & Freshwater Biology","Plant Sciences; Marine & Freshwater Biology","Ghent University - Faculty of Sciences - Biology Department - Research Group Phycology","x","Belgium","x","Research institute","Science","OK","{}"
"74",45,45,259320,2016,"AS","Dispersal similarly shapes both population genetics and community patterns in the marine realm","<b>Chust, G.; Villarino, E.; Chenuil, A.; Irigoien, X.; Bizsel, N.; Bode, A.; Broms, C.; Claus, S.; FernÃ¡ndez de Puelles, M.L.; Fonda Umani, S.; Hoarau, G.; Mazzocchi, M.G.; Mozetic, P.; Vandepitte, L.; VerÃ­ssimo, H.; Zervoudaki, S.; Borja, A.</b> (2016). Dispersal similarly shapes both population genetics and community patterns in the marine realm. <i>NPG Scientific Reports 6(28730)</i>: 28730. <a href=""https://hdl.handle.net/10.1038/srep28730"" target=""_blank"">https://hdl.handle.net/10.1038/srep28730</a>","Dispersal plays a key role to connect populations and, if limited, is one of the main processes to maintain and generate regional biodiversity. According to neutral theories of molecular evolution and biodiversity, dispersal limitation of propagules and population stochasticity are integral to shaping both genetic and community structure. We conducted a parallel analysis of biological connectivity at genetic and community levels in marine groups with different dispersal traits. We compiled large data sets of population genetic structure (98 benthic macroinvertebrate and 35 planktonic species) and biogeographic data (2193 benthic macroinvertebrate and 734 planktonic species). We estimated dispersal distances from population genetic data (i.e., FST vs. geographic distance) and from ÃŸ-diversity at the community level. Dispersal distances ranked the biological groups in the same order at both genetic and community levels, as predicted by organism dispersal ability and seascape connectivity: macrozoobenthic species without dispersing larvae, followed by macrozoobenthic species with dispersing larvae and plankton (phyto- and zooplankton). This ranking order is associated with constraints to the movement of macrozoobenthos within the seabed compared with the pelagic habitat. We showed that dispersal limitation similarly determines the connectivity degree of communities and populations, supporting the predictions of neutral theories in marine biodiversity patterns.","Chust, G.; Villarino, E.; Chenuil, A.; Irigoien, X.; Bizsel, N.; Bode, A.; Broms, C.; Claus, S.; FernÃ¡ndez de Puelles, M.L.; Fonda Umani, S.; Hoarau, G.; Mazzocchi, M.G.; Mozetic, P.; Vandepitte, L.; VerÃ­ssimo, H.; Zervoudaki, S.; Borja, A.","WOS:000378516200001","Irigoien, Xabier, X.","","https://hdl.handle.net/10.1038/srep28730","","Bio-ORACLE, ""Lifewatch acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Journal article","","","AZTI, Pasaia 20110, Gipuzkoa, Spain.","Spain","","PELAGIC LARVAL DURATION; BETA-DIVERSITY; SPECIES-DIVERSITY; SPATIAL AUTOCORRELATION; PROPAGULE DISPERSAL; CLIMATE-CHANGE; LIFE-HISTORY; TIME-SERIES; CONNECTIVITY; DISTANCE","Multidisciplinary Sciences","Science & Technology - Other Topics","Tecnalia - AZTI","x","","","","","OK","{'SDG_14': 5.0, 'SDG_9': 3.0}"
"75",47,47,259933,2016,"AS","EMODnet Workshop on mechanisms and guidelines to mobilise historical data into biogeographic databases","<b>Faulwetter, S.; Pafilis, E.; Fanini, L.; Bailly, N.; Agosti, D.; Arvanitidis, C.; Boicenco, L.; Capatano, T.; Claus, S.; Dekeyzer, S.; Georgiev, T.; Legaki, A.; Mavraki, D.; Oulas, A.; Papastefanou, G.; Penev, L.; Sautter, G.; Schigel, D.; Senderov, V.; Teaca, A.; Tsompanou, M.</b> (2016). EMODnet Workshop on mechanisms and guidelines to mobilise historical data into biogeographic databases. <i>Research Ideas and Outcomes 2</i>: e9774. <a href=""https://hdl.handle.net/10.3897/rio.2.e9774"" target=""_blank"">https://hdl.handle.net/10.3897/rio.2.e9774</a>","The objective of Workpackage 4 of the European Marine Observation and Data network (EMODnet) is to fill spatial and temporal gaps in European marine species occurrence data availability by carrying out data archaeology and rescue activities. To this end, a workshop was organised in the Hellenic Center for Marine Research Crete (HCMR), Heraklion Crete, (8â€“9 June 2015) to assess possible mechanisms and guideCorrespondinglines to mobilise legacy biodiversity data. Workshop participants were data managers who actually implement data archaeology and rescue activities, as well as external experts in data mobilisation and data publication. In particular, current problems associated with manual extraction of occurrence data from legacy literature were reviewed, tools and mechanisms which could support a semi-automated process of data extraction were explored and the re-publication of the data, including incentives for data curators and scientists were reflected upon.","Faulwetter, S.; Pafilis, E.; Fanini, L.; Bailly, N.; Agosti, D.; Arvanitidis, C.; Boicenco, L.; Capatano, T.; Claus, S.; Dekeyzer, S.; Georgiev, T.; Legaki, A.; Mavraki, D.; Oulas, A.; Papastefanou, G.; Penev, L.; Sautter, G.; Schigel, D.; Senderov, V.; Teaca, A.; Tsompanou, M.","","Claus, Simon, S.","Flanders Marine Institute (VLIZ)","https://hdl.handle.net/10.3897/rio.2.e9774","","European Oceanographic Biogeographic Information System (EurOBIS) acknowledged, ""LifeWatch Species Information Backbone""","","","Data management","","Biodiversity data; Legacy literature; Data archaeology; Data rescue; Text mining; Biogeographic databases","Journal article","","","","","","","","","VLIZ Flanders Marine Institute","","Belgium","x","Research institute","Science","OK","{'SDG_2': 1.0, 'SDG_3': 1.0, 'SDG_14': 1.0}"
"76",49,49,260338,2016,"AMS","Phytoplankton response to environmental changes in the Scheldt estuary","<b>de Blok, R.; Tackx, M.; Maris, T.; Meire, P.; Vyverman, W.</b> (2016). Phytoplankton response to environmental changes in the Scheldt estuary, <b><i>in</i></b>: Meire, P. (Ed.) <i>Book of abstracts: ECSA Local Meeting 2016. Estuarine Restoration: from theory to practice and back, University of Antwerp, Antwerp, Belgium, 5-9 July 2016. VLIZ Special Publication,</i> 77: pp. 28","","de Blok, R.; Tackx, M.; Maris, T.; Meire, P.; Vyverman, W.","","Tackx, MichÃ¨le, M.","","","","Lifewatch acknowledged, ""LifeWatch Observatory""","","","","","","Book chapters","Summary","","","","","","","","","","","","","","OK","{}"
"77",62,62,261113,2016,"AM","Catalogue of diatom names resurrected: DiatomBase will be the new authority resource for diatom names and more","<b>Kociolek, J.P.; Sabbe, K.; Vandepitte, L.; Decock, W.; Vanhoorne, B.</b> (2016). Catalogue of diatom names resurrected: DiatomBase will be the new authority resource for diatom names and more, <b><i>in</i></b>: Pienitz, R. <i>et al.</i> (Ed.) <i>IDS 2016: 24th International Diatom Symposium, Quebec, Canada, 21-26 August 2016: Program & Abstracts.</i> pp. 100","","Kociolek, J.P.; Sabbe, K.; Vandepitte, L.; Decock, W.; Vanhoorne, B.","","Sabbe, Koen, K.","Protistology & Aquatic Ecology Lab, Ghent University","","","LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference""","","","","","","Book chapters","Summary","","","","","","","","","","","","","","OK","{'SDG_14': 2.0, 'SDG_16': 1.0}"
