Usage_type,Since,Application,Institute,Country,,
Received access to download a monthly copy of WoRMS,2016-06-02,Build benthic invertebrate species database and its feeding behaviors,"Dept. of Civil and Environmental Engineering, Stanford University",USA,,
Received access to download a monthly copy of WoRMS,2015-06-18,Bulk taxon match,The Marine Biological Association- Data Archive Centre (DASSH),UK,,
Received access to download a monthly copy of WoRMS,2011-08-04,Catalogue of Life in Taiwan (TaiBNET),"Academia Sinica, Biodiversity Research Center",Taiwan,,
Received access to download a monthly copy of WoRMS,2016-12-01,Characterize the zooplankton biodiversity in the Gulf of Mexico,"Departamento de Biotecnologia Marina, Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE)",Mexico,,
Received access to download a monthly copy of WoRMS,2015-06-26,"Classification of Mollusca specimens, private shell collection",Filipe Medina de Sousa,Portugal,,
Received access to download a monthly copy of WoRMS,2015-08-31,Clean PaleoDB data,"Friedrich-Alexander-Universität, Erlangen",Germany,,
Received access to download a monthly copy of WoRMS,2015-07-02,Compare fossil taxa against extant marine taxa,"University of California, Berkeley, Integrative Biology",US,,
Received access to download a monthly copy of WoRMS,2011-04-21,Compare marine invasive species to all marine species.,"Leigh Marine Laboratory, University of Auckland",New Zealand,,
Received access to download a monthly copy of WoRMS,2009-10-26,Computational Bioscience Research Centre (CBRC),King Abdullah University of Science and Technology,Saudi Arabia,,
Received access to download a monthly copy of WoRMS,2015-07-28,Contribute to Deep-Sea Coral Research and Technology Program (DSC-RTP) National Database,National Oceanic and Atmospheric Administration (NOAA); Center for Coastal Environmental Health and Biomolecular Research,USA,,
Received access to download a monthly copy of WoRMS,2015-12-04,Coral identification iOS application,Personal,US,,
Received access to download a monthly copy of WoRMS,2016-04-27,Create coral reef system health decision support system,"The Nature Conservancy, Houston, Texas",USA,,
Received access to download a monthly copy of WoRMS,2016-01-12,Creating an internal data entry and data management database,Marine Ecological Surveys Ltd,UK,,
Received access to download a monthly copy of WoRMS,2009-03-23,CReefs,AIMS,Australia,,
Received access to download a monthly copy of WoRMS,2014-03-04,Custom dictionary MS Word,"Centre for Environment, Fisheries & Aquaculture Science (CEFAS),  Lowestoft",UK,,
Received access to download a monthly copy of WoRMS,2017-09-15,Data exchanges between FishBase and SeaLifeBase (MoU),"Quantitative Aquatics,  Sto. Domingo",Philippines,,
Received access to download a monthly copy of WoRMS,2010-05-31,Didactic material,Circolo attività Subacquee Chieri,Italy,,
Received access to download a monthly copy of WoRMS,2011-10-04,Distributional change shift / climate change,"Bangor University, School of Ocean Sciences",UK,,
Received access to download a monthly copy of WoRMS,2020-07-23,duplicate request,BGI-Qingdao,China,,
Received access to download a monthly copy of WoRMS,2008-06-21,ECAT,GBIF,Denmark,,
Received access to download a monthly copy of WoRMS,2013-04-05,Environmental monitoring,"Petrobras, Rio de Janeiro",Brasil,,
Received access to download a monthly copy of WoRMS,2013-05-21,Examine differences between (non-)indigenous marine species,"Department of Zoology,  Tel Aviv University, Tel Aviv",Israel,,
Received access to download a monthly copy of WoRMS,2014-09-22,Family & genus species statistics,"Queen's University Marine Laboratory (QML), Belfast",Ireland,,
Received access to download a monthly copy of WoRMS,2008-04-14,Fauna Ibérica Project,Universidade da Coruña,Spain,,
Received access to download a monthly copy of WoRMS,2011-03-01,FMAP,Dalhousie University,Canada,,
Received access to download a monthly copy of WoRMS,2020-07-20,For internal database/checking of Crustacean collection nomenclature,Indonesian Institute of Science,Indonesia,,
Received access to download a monthly copy of WoRMS,2021-07-24,For research on the size spectrum (Sheldon spectrum) from viruses to whales to estimate diversity in different size classes,Max Planck Institute for Mathematics in the Sciences,Germany,,
Received access to download a monthly copy of WoRMS,2016-01-15,Genomic studie of Crustaceans,"Molecular, Ecology, Evolution and Phylogenetics research group, University of Sydney",Australia,,
Received access to download a monthly copy of WoRMS,2010-02-03,German Marine Monitoring Programme,Federal Environmental Agency,Germany,,
Received access to download a monthly copy of WoRMS,2017-03-16,Global database of images and videos for all sea life species,Aniol S.L.,UK,,
Received access to download a monthly copy of WoRMS,2017-03-16,Global Names Index,GBIF,Denmark,,
Received access to download a monthly copy of WoRMS,2016-03-21,Greek Taxon Information System (GTIS),"LifeWatchGreece (LWG),  Hellenic Centre for Marine Research (HCMR)",Greece,,
Received access to download a monthly copy of WoRMS,2013-12-18,Identify and assess existing uses of marine genetic resources,"POMC Consulting (One World Analytics), Lancaster",UK,,
Received access to download a monthly copy of WoRMS,2011-02-24,Indexing system,Diveboard.com,France,,
Received access to download a monthly copy of WoRMS,2010-10-14,Indian OBIS node,"Centre for Marine Living Resources & Ecology. Ministry of Earth Sciences, Govt. of India",India,,
Received access to download a monthly copy of WoRMS,2012-12-05,Information systems on non-indigenous species (NIS),"CORPI, Klaipeda University",Lithuania,,
Received access to download a monthly copy of WoRMS,2012-09-04,Integrated repository for marine data in the Macaronesian region (REDMIC),OAG - Observatorio Ambiental Granadilla,Spain,,
Received access to download a monthly copy of WoRMS,2009-11-04,Interim Register of Marine and Nonmarine Genera (IRMNG),CSIRO Marine and Atmospheric Research,Australia,,
Received access to download a monthly copy of WoRMS,2010-03-31,Internal Data Management,Bundesamt für Seeschifffahrt und Hydrographie (BSH),Germany,,
Received access to download a monthly copy of WoRMS,2010-02-04,Internal Data Management,Central Marine Fisheries Research Institute,India,,
Received access to download a monthly copy of WoRMS,2008-04-07,Internal Data Management,"Department of Marine Ecology, National Environmental Institute, University of Aarhus",Denmark,,
Received access to download a monthly copy of WoRMS,2009-01-05,Internal Data Management,GBIF Swiss Node,Switzerland,,
Received access to download a monthly copy of WoRMS,2009-11-24,Internal Data Management,IFREMER - Centre de nantes Département EMH,France,,
Received access to download a monthly copy of WoRMS,2009-11-25,Internal Data Management,"Institute for Polar Ecology, University of Kiel",Germany,,
Received access to download a monthly copy of WoRMS,2009-11-16,Internal Data Management,Instituto Mediterraneo de Estudios Avanzados (IMEDEA),Spain,,
Received access to download a monthly copy of WoRMS,2009-03-02,Internal Data Management,L'Institut de recherche pour le développement (IRD),France,,
Received access to download a monthly copy of WoRMS,2011-09-23,Internal Data Management,"Marine Scotland Science, Marine Laboratory",UK,,
Received access to download a monthly copy of WoRMS,2008-07-31,Internal Data Management,MUMM,Belgium,,
Received access to download a monthly copy of WoRMS,2011-02-08,Internal Data Management,Musée cantonal de zoologie,Switzerland,,
Received access to download a monthly copy of WoRMS,2008-08-04,Internal Data Management,MyDiveAlbum,South Africa,,
Received access to download a monthly copy of WoRMS,2012-11-26,Internal Data Management,National Institute for Environmental Research and Protection (ISPRA),Italy,,
Received access to download a monthly copy of WoRMS,2011-01-21,Internal Data Management,"Sorbonne Université/CNRS, Station Biologique de Roscoff",France,,
Received access to download a monthly copy of WoRMS,2008-12-09,Internal Data Management,University of Messina,Italy,,
Received access to download a monthly copy of WoRMS,2010-06-17,"Internal data management, TraitExplorer",Plymouth Marine Laboratory,UK,,
Received access to download a monthly copy of WoRMS,2012-10-08,Internal datamanagement & QC (poor internet access),"Centro de Investigaciones Marinas, Universidad de La Habana",Cuba,,
Received access to download a monthly copy of WoRMS,2017-03-08,Internal datamanagement and revision of old species lists,"Benthos Ecology, Marine Institute, Galway",Ireland,,
Received access to download a monthly copy of WoRMS,2017-11-03,Internal laboratory sample data entry and sample interface,Ocean Ecology,UK,,
Received access to download a monthly copy of WoRMS,2020-07-29,internal use by WoRMS editors,Smithsonian,United States,,
Received access to download a monthly copy of WoRMS,2017-04-26,Keep scientific species names up-to-date,"Centre for Development Co-operation in Fisheries (CDCF), Institute of Marine Research",Norway,,
Received access to download a monthly copy of WoRMS,2015-09-15,Keep taxonomic register up-to-date,"National Institute of Water and Atmospheric Research (NIWA), Wellington",New Zealand,,
Received access to download a monthly copy of WoRMS,2009-09-23,L'Inventaire national du Patrimoine naturel,MNHN,France,,
Received access to download a monthly copy of WoRMS,2017-05-22,Maintain the RAM Legacy Stock Assessment Database,"University of Washington, School of Aquatic and Fishery Sciences",USA,,
Received access to download a monthly copy of WoRMS,2015-07-30,Map of Life Project,Yale University,USA,,
Received access to download a monthly copy of WoRMS,2012-12-05,Marine life histories aspects across all taxa,"Center for Macroecology, Evolution and Climate, Department of Biology, Copenhagen University",Denmark,,
Received access to download a monthly copy of WoRMS,2008-04-10,MedOBIS,HCMR,Greece,,
Received access to download a monthly copy of WoRMS,2017-07-28,Migration of the mollusca inventory collection database,Natural History Museum Vienna,Austria,,
Received access to download a monthly copy of WoRMS,2017-03-17,"Mobile application to upload,share and identify marine species photos",LazyDiving.com,China,,
Received access to download a monthly copy of WoRMS,2010-09-20,Moorea Biocode Project,"National Museum of Natural History, Smithsonian Institution",USA,,
Received access to download a monthly copy of WoRMS,2010-06-04,Multispecies fisheries models in the Gulf of Mexico and South Atlantic,Florida Fish and Wildlife Conservation Commission,USA,,
Received access to download a monthly copy of WoRMS,2011-12-22,Museum database species list,Museum and Art Gallery of the Northern Territory,Australia,,
Received access to download a monthly copy of WoRMS,2012-08-29,Natural language processing techniques in marine biology,"University of Essex, School of Computer Science and Electronic Engineering",UK,,
Received access to download a monthly copy of WoRMS,2010-08-20,NMFS-COPEPOD,National Oceanic and Atmospheric Administration (NOAA); Marine Ecosystems Division,USA,,
Received access to download a monthly copy of WoRMS,2016-12-23,"OBIS Japan, taxon matching",Japan Agency for Marine-Earth Science and Technology (JAMSTEC),Japan,,
Received access to download a monthly copy of WoRMS,2008-12-11,Ocean Genome Resource,Ocean Genome Legacy,USA,,
Received access to download a monthly copy of WoRMS,2020-07-11,Offline access to Actinaria taxonomy during expeditions,Zoological Institute of RAS,Russia,,
Received access to download a monthly copy of WoRMS,2020-12-04,"Offline access to Actinaria, Corallimorpharia and Ptychodactiaria taxonomy during expeditions",Zoological Institute of RAS,Russia,,
Received access to download a monthly copy of WoRMS,2021-05-10,Offline access to Metazoan taxonomy during field work,University of Bologna,Italy,,
Received access to download a monthly copy of WoRMS,2015-01-29,On-line invertebrate information database for coastal Southern California," Marine Biodiversity Center, Natural History Museum, Los Angeles",US,,
Received access to download a monthly copy of WoRMS,2018-02-01,Ophistobranch mollusc data from WoRMS will be used for updating internal species distribution database ,VIMAR (Vida Marina),Spain,,
Received access to download a monthly copy of WoRMS,2016-11-01,Phylogeny for decapod crustaceans by integrating taxonomic with molecular data,"Florida International University, Biscayne Bay Campus",USA,,
Received access to download a monthly copy of WoRMS,2016-11-01,Porifera Tree of Life project (PorToL),University of Alabama at Birmingham,USA,,
Received access to download a monthly copy of WoRMS,2012-05-29,Private Mollusca database,Mathias Lindner,Germany,,
Received access to download a monthly copy of WoRMS,2011-01-06,Quadrige,"IFREMER–DYNECO/VIGIES, Nantes",France,,
Received access to download a monthly copy of WoRMS,2017-02-09,Rearrange Mollusca specimen collection,"Cape Cod Museum of Natural History, Brewster, MA",USA,,
Received access to download a monthly copy of WoRMS,2013-08-06,Reference for species/taxon for a benthos database,"CREOCEAN Society, Montpellier",France,,
Received access to download a monthly copy of WoRMS,2015-01-26,Reference in a web application for the visual identification of plankton,"Sorbonne Université/CNRS, Laboratoire d'Océanographie de Villefranche",France,,
Received access to download a monthly copy of WoRMS,2015-02-10,Reference taxonomic database of the Korean waters,"Korea Institute of Ocean Science and Technology, Ocean Observation and Information Section",Korea,,
Received access to download a monthly copy of WoRMS,2012-11-29,Research on DNA barcoding of Canadian marine invertebrates,"Biodiversity Institute of Ontario, University of Guelph",Canada,,
Received access to download a monthly copy of WoRMS,2011-10-20,Research project,"Environment Department, University of York",UK,,
Received access to download a monthly copy of WoRMS,2011-05-11,Review on patented marine natural products,Juan J. González,Spain,,
Received access to download a monthly copy of WoRMS,2013-02-26,Scuba diving social network,Bitonga Ltd.,UK,,
Received access to download a monthly copy of WoRMS,2008-04-10,SeaLifeBase,"University of British Columbia, Fisheries Centre",Canada,,
Received access to download a monthly copy of WoRMS,2008-09-03,SeamountsOnline,University of California San Diego,USA,,
Received access to download a monthly copy of WoRMS,2016-03-29,Search synonyms when our references don't match the morphological ID's,"Moss Landing Marine Laboratory, California State University",USA,,
Received access to download a monthly copy of WoRMS,2017-09-29,Seashell-collector.com,n/a,France,,
Received access to download a monthly copy of WoRMS,2010-03-30,Serena Application,Réserves Naturelles de France,France,,
Received access to download a monthly copy of WoRMS,2009-11-17,SeSAM,Senckenberg Forschungsinstitut und Naturmuseum Frankfurt,Germany,,
Received access to download a monthly copy of WoRMS,2011-08-04,Species list,Divenation.com,UK,,
Received access to download a monthly copy of WoRMS,2011-11-18,Standardize taxonomy," US Environmental Protection Agency (US EPA), Coastal Ecology Branch",USA,,
Received access to download a monthly copy of WoRMS,2011-11-18,Standardize taxonomy,"USGS Western Fisheries Research Center, Marine Hatfield Science Center",USA,,
Received access to download a monthly copy of WoRMS,2012-01-27,Standardize taxonomy for OBIS,"Instituto de Tecnología y Ciencias Marinas, Universidad Simón Bolívar",Venezuela,,
Received access to download a monthly copy of WoRMS,2009-11-06,Statistical analysis,Trinity College Dublin,Ireland,,
Received access to download a monthly copy of WoRMS,2009-08-18,Statistics,Australian Antarctic Division,Australia,,
Received access to download a monthly copy of WoRMS,2020-07-09,Subclass Heterobranchia. For research,Hong Kong Baptist University,N/A,,
Received access to download a monthly copy of WoRMS,2012-08-09,Synthetic and macroecological analyses of marine biodiversity,"University of Sheffield, Department of Animal & Plant Sciences",UK,,
Received access to download a monthly copy of WoRMS,2016-12-23,Tablet App to assist taxonomists in recording species in the laboratory,NETAXIA Limited,UK,,
Received access to download a monthly copy of WoRMS,2012-10-15,Taxon dictionary for in-house catalogue,National Museums Northern Ireland,Ireland,,
Received access to download a monthly copy of WoRMS,2017-09-21,Taxon sampling for a phylogenetic analysis of Ostracoda,"Department of Paleobiology, National Museum of Natural History, Smithsonian Institution",USA,,
Received access to download a monthly copy of WoRMS,2016-10-28,Taxonomic authority collections management database system," New York State Museum,Albany",USA,,
Received access to download a monthly copy of WoRMS,2010-05-28,Taxonomic backbone for a WikiProject on Gastropods. ,Wikipedia,United States,,
Received access to download a monthly copy of WoRMS,2019-01-02,Taxonomic backbone for the collection database in the division of Invertebrate Zoology of the University of Colorado Museum of Natural History,Museum of Natural History,USA,,
Received access to download a monthly copy of WoRMS,2014-10-28,Text mining of scientific literature,"OceanCertain - Norwegian University of Science and Technology (NTNU), Trondheim",Norway,,
Received access to download a monthly copy of WoRMS,2019-11-22,"The MSBIAS subset of WoRMS will be used for statistic analyses of the benthic survey data management system ""Marine Recorder""",Seasearch c/o Marine Conservation Society,United Kingdom,,
Received access to download a monthly copy of WoRMS,2016-11-23,Tool for aquarium fish shipment: proper taxonomy,"Roger Williams University, Department of Biology and Marine Biology",US,,
Received access to download a monthly copy of WoRMS,2009-11-24,Tool to help assign biotopes to UK habitats,Marine Ecological Solutions Ltd,UK,,
Received access to download a monthly copy of WoRMS,2018-02-05,Update taxonomy of NW Atlantic survey database by QC with WoRMS data,Atlantic Reference Centre,Canada,,
Received access to download a monthly copy of WoRMS,2021-07-24,Updating the internal taxonomic thesaurus of the Invert-E-Base biodiversity portal (https://invertebase.org).,Arizona State University,N/A,,
Received access to download a monthly copy of WoRMS,2018-01-03,Usage of WoRMS data as taxonomic for internal video-tagging application.,Marine and Freshwater Institute Iceland,Iceland,,
Received access to download a monthly copy of WoRMS,2018-01-04,Usage of WoRMS data as test dataset for tech demonstration purposes,3T Software Labs GmbH,Germany,,
Received access to download a monthly copy of WoRMS,2017-12-31,Usage of WoRMS data for identification of marine taxa in a data mining application. ,Centre of Marine Sciences,Portugal,,
Received access to download a monthly copy of WoRMS,2018-02-07,Usage of WoRMS data for identification of marine taxa in a data mining application.,CRACS - INESC TEC,Portugal,,
Received access to download a monthly copy of WoRMS,2017-12-06,use data download to enrich BISMaL database (adding WoRMS ahipaID and isMarine flag),Japan Agency for Marine-Earth Science and Technology,Japan,,
Received access to download a monthly copy of WoRMS,2015-06-24,Use in the Regional DataBase and in the fishPi project,International Council for the Exploration of the Sea (ICES),Denmark,,
Received access to download a monthly copy of WoRMS,2015-10-19,Use taxonomic classification,"Biologica Environmental Services Ltd., Victoria",Canada,,
Received access to download a monthly copy of WoRMS,2017-09-08,Validation of marine biodiversity database,"South African Institute for Aquatic Biodiversity, Grahamstown",South Africa,,
Received access to download a monthly copy of WoRMS,2018-02-22,WoRDSS data is used as taxonomic backbone for a realtime deep-sea video annotation system.,National Oceanic and Atmospheric Administration,USA,,
Received access to download a monthly copy of WoRMS,2021-06-29,WoRMS data will be used for a research project to on Nudibranchia at the Museum of Comparative Zoology,Museum of Comparative Zoology,United States,,
Received access to download a monthly copy of WoRMS,2020-07-23,WoRMS data (Arthropoda + Mollusca) will be used to identify marine species in sequence databases,BGI-Qingdao,China,,
Received access to download a monthly copy of WoRMS,2020-01-08,WoRMS data (subset Bryozoa) will be used for biodiversity research purposes by a project at the North Carolina Museum of Natural Sciences.,North Carolina Museum of Natural Sciences,United States,,
Received access to download a monthly copy of WoRMS,2018-02-07,WoRMS data is used as taxonomic backbone for a citizen science initiatice to record marine species distributions and images run by CCMAR University,Centre of Marine Sciences,Portugal,,
Received access to download a monthly copy of WoRMS,2021-04-05,WoRMS data serve as taxonomic backbone for the cloud-based marine ecological database ABACUS by Ocean Ecology Ltd., Ocean Ecology Limited,United Kingdom,,
Received access to download a monthly copy of WoRMS,2021-05-13,WoRMS data will be included as taxonomic backbone in the PlutoF platform,University of Tartu Natural History Museum,Estonia,,
Received access to download a monthly copy of WoRMS,2019-05-22,WoRMS data will be used as a data source for an interactive application by the Norwegian University of Science and Technology visualizing the presence and origin of invasive species.,"Industrial Ecology Programme, Department of Energy and Process Engineering, Norwegian University of Science and Technology (NTNU)",Norway,,
Received access to download a monthly copy of WoRMS,2019-05-16,WoRMS data will be used as a data source for the internal database of ICES (International Council for the Exploration of the Sea). ,International Council for the Exploration of the Sea,Denmark,,
Received access to download a monthly copy of WoRMS,2019-06-26,WoRMS data will be used as a data source for the internal environmental database of BP ,"ddms, Inc.",United States,,
Received access to download a monthly copy of WoRMS,2019-03-26,"WoRMS data will be used as a training dataset for a data-mining application by the Harold A. Miller Marine Biology Library, Hopkins Marine Station of Stanford University",Hopkins Marine Station,USA,,
Received access to download a monthly copy of WoRMS,2018-07-20,WoRMS data will be used as picklist in the institutional library database,Fisheries Research Station junagadh agricultural university sikka ,India,,
Received access to download a monthly copy of WoRMS,2019-04-23,"WoRMS data will be used as reference data source for the internal database of DEFRA (Department for Environment, Food and Rural Affairs), UK","Project Manager - DDTS EU Exit Programme| Department for Environment, Food and Rural Affairs",United Kingdom,,
Received access to download a monthly copy of WoRMS,2018-07-28,WoRMS data will be used as taxonomic backbone for a database recording occurrence data.,Office de l'Environnement de la Corse,France,,
Received access to download a monthly copy of WoRMS,2019-11-29,WoRMS data will be used as taxonomic backbone for a dna database for nematodes at the Institute for Agricultural and Fisheries Research (ILVO),ILVO,Belgium,,
Received access to download a monthly copy of WoRMS,2019-12-15,WoRMS data will be used as taxonomic backbone for a metabarcode reference library at the School of Natural and Computational Sciences (Massey University Auckland),Massey University Auckland,New Zealand,,
Received access to download a monthly copy of WoRMS,2020-01-06,"WoRMS data will be used as taxonomic backbone for a project on bivalve phylogeny at the Department of the Geophysical Sciences, The University of Chicago",The University of Chicago,United States,,
Received access to download a monthly copy of WoRMS,2018-12-11,WoRMS data will be used as taxonomic backbone for a research project o identify global ocean conservation priorities.,"University of California, Santa Barbara",USA,,
Received access to download a monthly copy of WoRMS,2018-04-24,WoRMS data will be used as taxonomic backbone for a study of body size distributions within siphonophorae.,Yale university,N/A,,
Received access to download a monthly copy of WoRMS,2020-09-21,WoRMS data will be used as taxonomic backbone for a study on on difference in Life strategies between terrestrial and marine mammals at the University of Tartu (Department of Botany),University of Tartu,Estonia,,
Received access to download a monthly copy of WoRMS,2018-05-21,WoRMS data will be used as taxonomic backbone for a study on speciation rates of Black corals,James Cook University,N/A,,
Received access to download a monthly copy of WoRMS,2018-04-24,WoRMS data will be used as taxonomic backbone for an ERC grant on cheilostome bryozoans,University of Oslo,Norway,,
Received access to download a monthly copy of WoRMS,2019-11-28,WoRMS data will be used as taxonomic backbone for an image database for research on automated taxon identifications,"Swedish Museum of Natural History, Department of Palaeobiology",Sweden,,
Received access to download a monthly copy of WoRMS,2018-12-21,WoRMS data will be used as taxonomic backbone for an internal database used in a study reviewing copepod photobiology.,"Duke University, William Peace University",United States,,
Received access to download a monthly copy of WoRMS,2021-07-03,WoRMS data will be used as taxonomic backbone for biodiversity assessments by the Cyprus University of Technology,Cyprus University of Technology,Cyprus,,
Received access to download a monthly copy of WoRMS,2021-07-12,WoRMS data will be used as taxonomic backbone for collection databases of the Aquazoo Löbbecke Museum Düsseldorf,Aquazoo Löbbecke Museum Düsseldorf,Germany,,
Received access to download a monthly copy of WoRMS,2021-05-28,WoRMS data will be used as taxonomic backbone for decapod Tree of Life project at Florida International University,Florida International University,N/A,,
Received access to download a monthly copy of WoRMS,2020-04-02,WoRMS data will be used as taxonomic backbone for iNaturalist,"iNaturalist, California Academy of Scienes and National Geogrraphic Society",United States,,
Received access to download a monthly copy of WoRMS,2017-11-27,WoRMS data will be used as taxonomic backbone for iOS apps that focus on Marine Life identification ,"Reef Life Apps, LLC",Czech Republic,,
Received access to download a monthly copy of WoRMS,2019-09-17,WoRMS data will be used as taxonomic backbone for marine species by Observation.org Stichting observation international,Stichting observation international,Netherlands,,
Received access to download a monthly copy of WoRMS,2018-09-20,"WoRMS data will be used as taxonomic backbone for marine species data in Arctos, a non-profit collaborative collection management system developed by a consortium of US institutions ",Arctos,United States,,
Received access to download a monthly copy of WoRMS,2021-08-09,"WoRMS data will be used as taxonomic backbone for programme funded by the U.S. National Science Foundation (NSF) to digitize the marine wet collections of the United States, led by the Natural History Museum of Los Angeles County",Natural History Museum of Los Angeles County,USA,,
Received access to download a monthly copy of WoRMS,2018-12-27,WoRMS data will be used as taxonomic backbone for research om marine biogeography.,Leigh Marine Laboratory,New Zealand,,
Received access to download a monthly copy of WoRMS,2018-05-21,WoRMS data will be used as taxonomic backbone for studies on zooplankton diversity.,"Ensenada Center for Scientific Research and Higher Education, CICESE",Mexico,,
Received access to download a monthly copy of WoRMS,2021-07-09,WoRMS data will be used as taxonomic backbone for taxonomic databases of the National Marine Fisheries Research Institute,National Marine Fisheries Research Institute,Poland,,
Received access to download a monthly copy of WoRMS,2020-05-01,WoRMS data will be used as taxonomic backbone for the Invertebrate Collection database of the Virginia Institute of Marine Science,Virginia Institute of Marine Science,United States,,
Received access to download a monthly copy of WoRMS,2020-07-06,WoRMS data will be used as taxonomic backbone for the research collection database of the Harbor Branch Oceanographic Institute,Harbor Branch Oceanographic Institution,USA,,
Received access to download a monthly copy of WoRMS,2020-04-07,WoRMS data will be used as taxonomic backbone for the collection database of the California Academy of Sciences,California Academy of Sciences,United States,,
Received access to download a monthly copy of WoRMS,2020-09-25,WoRMS data will be used as taxonomic backbone for the Digital Asset Management System of DAERA Marine & Fisheries.,"The Department of Agriculture, Environment and Rural Affairs",UK,,
Received access to download a monthly copy of WoRMS,2019-09-30,WoRMS data will be used as taxonomic backbone for the internal database of Ocean Genome Legacy Center (OGL),Northeastern University,USA,,
Received access to download a monthly copy of WoRMS,2019-08-05,WoRMS data will be used as taxonomic backbone for the internal database of Revive & Restore,Revive & Restore,United States,,
Received access to download a monthly copy of WoRMS,2021-09-16,WoRMS data will be used as taxonomic backbone for the invertebrate collection of the Virginia Institute of Marine Science,Virginia Institute of Marine Science,United States,,
Received access to download a monthly copy of WoRMS,2018-12-08,"WoRMS data will be used as taxonomic backbone for the open science project ""Sealife Collection"" of the Alive Fundació",Alive Fundació,Spain,,
Received access to download a monthly copy of WoRMS,2020-01-10,WoRMS data will be used as taxonomic backbone for the Porifera Tree of Life project (PorToL),Stony Brook University,United States,,
Received access to download a monthly copy of WoRMS,2018-08-16,WoRMS data will be used as taxonomic backbone for the Porifera Tree of Life project (PorToL),Stony Brook University,USA,,
Received access to download a monthly copy of WoRMS,2021-08-26,WoRMS data will be used as taxonomic backbone for the taxonomic naming service in FathomNet by Monterey Bay Aquarium Research Institute (MBARI) ,Monterey Bay Aquarium Research Institute (MBARI),United States,,
Received access to download a monthly copy of WoRMS,2019-11-05,WoRMS data will be used as taxonomic backbone in a biochemical study on cnidarians,NUI Galway,Ireland,,
Received access to download a monthly copy of WoRMS,2019-11-08,WoRMS data will be used as taxonomic backbone in a master thesis assessing extinction risk.,University of Hawaii at Hilo,United States,,
Received access to download a monthly copy of WoRMS,2018-12-18,WoRMS data will be used as taxonomic backbone in a project on biological inventories and exploration of novel ocean environments.,Insitech Partners LLC,United States,,
