,DataSystem,Affiliation,Country,Unnamed: 3,Unnamed: 4,Unnamed: 5,stand_affil,similarity_method,stand_country,stand_flemish,stand_GROUP,stand_QH
220,Marine_species,Third Institute of Oceanography,China,,,,Government of Canada - Fisheries and Oceans Canada - Bedford Institute of Oceanography,x,Canada,,Research institute,Science
221,Marine_species,Beijing Genomics Institute (BGI),China,,,,Beijing Genomics Institute (BGI),,China,,Company,Industry
222,Marine_species,None,Finland,,,,,,,,,
223,Marine_species,"Taiwan Biodiversity Information Facility (TaiBIF), Biodiversity Research Centre,  Academia Sinica",Taiwan (Province of China),,,,Academia Sinica - Biodiversity Research Centre - Taiwan Biodiversity Information Facility (TaiBIF),x,Taiwan,,Data infrastructure,Science
224,Marine_species,Western Pacific Regional Fishery Management Council,United States,,,,Western Pacific Regional Fishery Management Council,,USA,,Governmental body,Policy
225,Marine_species,CNRS IMBE: Mediterranean institute of Biodiversity and Ecology (marine and continental),France,,,,CNRS - Mediterranean institute of Biodiversity and Ecology IMBE,,France,,Research institute,Science
226,Marine_species,Cercle Geologique du Hainaut,France,,,,Cercle Geologique du Hainaut,,France,,Research institute,Science
227,Marine_species,European Commission - DG SANTE,Belgium,,,,EU - European Commission -  DG SANTE (DG for Health and Food Safety),x,Europe,,EU institution,Policy
228,Marine_species,University of British Columbia,Canada,,,,University of British Columbia,,Canada,,University,Science
229,Marine_species,College of Marine Life Science Ocean University of China,China,,,,Ocean University of China - College of Marine Life Sciences,,China,,University,Science
230,Marine_species,Hellenic Centre for Marine Research,Greece,,,,HCMR (Hellenic Centre for Marine Research),,Greece,,Research institute,Science
231,Marine_species,NOAA-NCEI,United States,,,,NOAA National Oceanic And Atmospheric Administration - NCEI National Centers for Environmental Information,,USA,,Governmental body,Policy
232,Marine_species,Hopkins Marine Station,USA,,,,Stanford University - Hopkins Marine Station,,USA,,Research institute,Science
233,Marine_species,Beijing Genomics Institute (BGI),China,,,,Beijing Genomics Institute (BGI),,China,,Company,Industry
234,Marine_species,Northwest University,China,,,,Northwest University of China,,China,,University,Science
235,Marine_species,Ocean Networks Canada,Canada,,,,University of Victoria - Ocean Networks Canada,,Canada,,University,Science
236,Marine_species,University of Southampton,United Kingdom,,,,University of Southampton,,UK,,University,Science
237,Marine_species,Universiteit Gent,Belgium,,,,Ghent University,,Belgium,x,University,Science
238,Marine_species,Murdoch University,Australia,,,,Murdoch University,x,Australia,,University,Science
239,Marine_species,CEFAS,United Kingdom,,,,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)",,UK,,Research institute,Science
240,Marine_species,Universidad de Murcia,Spain,,,,University of Murcia,,Spain,,University,Science
241,Marine_species,Individual,Australia,,,,personal,,,,,
242,Marine_species,University of Pretoria,South-Africa,,,,University of Florida,x,USA,,University,Science
243,Marine_species,Executive Environmnet Agency,Bulgaria,,,,Ministry of Environment and Water - Executive Environment Agency (ExEA),,Bulgaria,,Governmental body,Policy
244,Marine_species,Yale University,United States,,,,Yale University,,USA,,University,Science
245,Marine_species,Scottish Environment Protection Agency,United Kingdom,,,,US Environmental Protection Agency (US EPA),x,USA,,Governmental body,Policy
246,Marine_species,Australian Antarctic Data Centre,Australia,,,,Australian Antarctic Data Centre,,Australia,,Data infrastructure,Science
247,Marine_species,Senckenberg Nature Research Society,Germany,,,,Senckenberg Nature Research Society,,Germany,,research network,Science
248,Marine_species,Victoria University of Wellington,New Zealand,,,,Victoria University of wellington,x,New Zealand,,University,Science
249,Marine_species,Zoological Society of London,United Kingdom,,,,Zoological Society of London,,UK,,Non-profit organization,Policy
250,Marine_species,Imperial College London,United Kingdom,,,,Imperial College London,,,,,
251,Marine_species,University Hamburg; Zentrum für Bioinformatik,Germany,,,,University of Hamburg - Center for Bioinformatics,,Germany,,Research institute,Science
252,Marine_species,"University of California,  Berkeley",United States,,,,"University of California, Berkeley",x,USA,,University,Science
253,Marine_species,University of Guelph,Canada,,,,University of Hull,x,UK,,University,Science
254,Marine_species,Missouri Botanical Garden,United States,,,,Plantentuin Meise,x,Belgium,x,Museum,Science
255,Marine_species, BASF SE,Germany,,,,BASF,x,Global,,Company,Industry
256,Marine_species,Axiom Data Science,United States,,,,Axiom Data Science,,USA,,Data infrastructure,Science
257,Marine_species,cefas,United Kingdom,,,,,,,,,
258,Marine_species,Field Museum of Natural History,United States,,,,Swedish Museum of Natural History,x,Sweden,,Museum,Science
259,Marine_species,Marine Institute Ireland,Ireland,,,,Marine Institute,x,Ireland,,Research institute,Science
260,Marine_species,Senckenberg Research Institute and Natural History Museum,Germany,,,,Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt,,Germany,,Research institute,Science
261,Marine_species,"Muséum national d'Histoire naturelle (MNHN), Paris",France,,,,MNHN National Museum of Natural History,x,France,,Museum,Science
262,Marine_species,Barcode of Life Datasystem (BOLD) - Centre for Biodiversity Genomics (CBG) ,Canada,,,,Barcode of Life Data System (BOLDSystems),,Global,,Data infrastructure,Science
263,Marine_species,Draper,United States,,,,Draper Inc. ,,USA,,Company,Industry
264,Marine_species,European Bioinformatics Institute,UK,,,,EMBL (European Molecular Biology Laboratory) - EBI (European Bioinformatics Institute),,Europe,,Research network,Science
265,Marine_species,Eco Marine Consultants,United Kingdom,,,,Eco Marine Consultants,,UK,,Consultancy,Industry
266,Marine_species,Station Biologique de Roscoff - CNRS - Sorbonne Université,France,,,,Station Biologique de Roscoff,,,,,
267,Marine_species," R/V Atlantis, and R/V Mirai Cruises.Scripps Institution of Oceanography",USA,,,,"University of California, San Diego (UCSD) - Scripps Institution of Oceanography",,USA,,Research institute,Science
268,Marine_species,"Canadian National Collection of Insects,  Arachnids & Nematodes",Canada,,,,"Ottawa Research and Development Centre - Canadian National Collection of Insects, Arachnids & Nematodes",x,Canada,,Research institute,Science
269,Marine_species,Haus der Natur Salzburg,Austria,,,,Haus der Natur Salzburg,,Austria,,Museum,Science
270,Marine_species,Natural History Museum Rotterdam,Netherlands,,,,Natural History Museum Rotterdam (NMR),x,Netherlands,,Museum,Science
271,Marine_species,Centre for Marine Environmental Sciences,Germany,,,,MARUM - Center for Marine Environmental Sciences,x,Germany,,Research institute,Science
272,Marine_species,University Hamburg; Center for Natural History,Germany,,,,University of Hamburg - Center for Natural History,,,,,
273,Marine_species,American Museum of Natural History,USA,,,,American Museum of Natural History (AMNH),,USA,,Museum,Science
274,Marine_species,Universidade Federal Fluminense,Brazil,,,,Fluminense Federal University,x,Brazil,,University,Science
275,Marine_species,Selkirk College,Canada,,,,Selkirk College,,Canada,,University,Science
276,Marine_species,Dalhousie Univeristy,Canada,,,,Dalhousie University,x,Canada,,University,Science
277,Marine_species,"Biodiversity Research Center, Academia Sinica",Taiwan (Province of China),,,,Academia Sinica - Biodiversity Research Centre,,Taiwan,,Research institute,Science
278,Marine_species,,USA,,,,,,,,,
279,Marine_species,"Add-my-Pet portal ,  Vrije Universiteit van Amsterdam",Netherlands,,,,Add-my-Pet (AmP) ,x,Netherlands,,Data infrastructure,Science
280,Marine_species,"Archaeology and Natural History,  The Australian National University",Australia,,,,Australian National University - Archaeology and Natural History,x,Australia,,University,Science
281,Marine_species,"Base pour l'Inventaire des Observations Subaquatiques (BioObs), ",France,,,,BioObs (Base pour l'inventaire des observations subaquatiques),,France,,Data infrastructure,Science
282,Marine_species,"Biodata Mining Group,  Bielefeld University",Germany,,,,Bielefeld University - Biodata Mining Group,,,,,
283,Marine_species,"Biodiversity Virtual e-Laboratory (BioVeL) Project,  Cardiff University",UK,,,,Cardiff University,,UK,,University,Science
284,Marine_species,"Biological Information System for Marine Life (BISMaL), ",Japan,,,,JAMSTEC (Japan Agency for Marine-Earth Science and Technology) - Biological Information System for Marine Life (BISMaL),,Japan,,Data infrastructure,Science
285,Marine_species,"BlueBRIDGE,  Italian National Research Council",Italy,,,,BlueBRIDGE,x,New Zealand,,Consultancy,Industry
286,Marine_species,"British Oceanographic Data Centre (BODC), ",UK,,,,British Oceanographic Data Centre (BODC),x,UK,,Data infrastructure,Science
287,Marine_species,"Check the current taxonomic classification benthic surveys samples,  Centre for Environment, Fisheries and Aquaculture Science",UK,,,,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)",x,UK,,Research institute,Science
288,Marine_species,"Circolo Attività Subacquee Chieri,  Sezione Didattica",Italy,,,,Chieri Underwater Activities Club,x,Italy,,Other,Civil society
289,Marine_species,"Citizen Science non profit group opistobranquis.info ,  VIMAR - Vida Marina ",Spain,,,,VIMAR (Vida Marina),x,,,,
290,Marine_species,"Coral Reef Ecosystem Division (CRED),  NOAA",USA,,,,NOAA National Oceanic And Atmospheric Administration - Coral Reef Ecosystem Division (CRED),,,,,
291,Marine_species,"CRITTERBASE project,  Alfred Wegener Institute for Polar- and Marine Research",Germany,,,,CRITTERBASE,x,Germany,,Data infrastructure,Science
292,Marine_species,"DAERA.Marine taxon application (new version of UNICORN) ,  The Department of Agriculture, Environment and Rural Affairs",UK,,,,"Northern Ireland Executive - Department of Agriculture, Environment and Rural Affairs (DAERA)",x,UK,,Governmental body,Policy
293,Marine_species,"Data Publisher for Earth & Environmental Science (PANGAEA) ,  Centre for Marine Environmental Sciences",Germany,,,,PANGAEA,x,Germany,,Data infrastructure,Science
294,Marine_species,"Department of Marine Sciences,  University of the Aegean",Greece,,,,University of the Aegean - Department of Marine Sciences,x,Greece,,University,Science
295,Marine_species,"Données d'Observations pour la Reconnaissance et l'Identification de la faune et de la flore Subaquatique (DORIS), ",France,,,,Données d'Observations pour la Reconnaissance et l'Identification de la faune et la flore Subaquatiques (DORIS),x,France,,Data infrastructure,Science
296,Marine_species,"Ecopath with Ecosim (EwE),  University of British Columbia",Canada,,,,University of British Columbia - Ecopath with Ecosim (EwE),,,,,
297,Marine_species,"Ecospan Environmental Limited, ",UK,,,,Ecospan Environmental Limited,x,UK,,Company,Industry
298,Marine_species,"EMODNet Portal for Biology, ",EU,,,,EMODNet (European Marine Observation and Data Network) - Biology,x,Europe,,Data infrastructure,Science
299,Marine_species,"Encyclopedia of Life,  Smithsonian Institution",USA,,,,Smithsonian Institution - Smithsonian National Museum of Natural History - Encyclopedia of Life (EOL),x,USA,,Data infrastructure,Science
300,Marine_species,"Environmental Information Management (EIM) database,  Washington State Department of Ecology",USA,,,,Washington State Department of Ecology - Environmental Information Management (EIM) database,,USA,,Data infrastructure,Science
301,Marine_species,"ETI BioInformatics, ",Netherlands,,,,ETI BioInformatics,x,Netherlands,,Company,Industry
302,Marine_species,"European Environment Agency,  EUNIS",Denmark,,,,EU - European Environmental Agency - EUNIS (European Nature Information System),x,Europe,,Data infrastructure,Science
303,Marine_species,"Fisheries Linked Open Data at the Fisheries and Aquaculture Department of FAO, ",Italy,,,,FAO (Food and Agriculture Organization of the United Nations) - Fisheries and Aquaculture Department - Fisheries Linked Open Data (FLOD),x,,,,
304,Marine_species,"Foraminifera.eu Project, ",Germany,,,,Foraminifera.eu,,Europe,,Creative body,Science
305,Marine_species,"Gaiaguide, ",Australia,,,,,,,,,
306,Marine_species,"Gardline Marine Sciences group, ",UK,,,,Gardline Group - Marine Sciences group,x,Global,,Company,Industry
307,Marine_species,"GenBank,  National Center for Biotechnology Information (NCBI)",USA,,,,National Center for Biotechnology Information (NCBI),x,USA,,Data infrastructure,Science
308,Marine_species,"Global Biotic Interactions (GloBI), ",Oakland,,,,Global Biotic Interactions (GloBI),,,,,
309,Marine_species,"Global Genome Initiative,  Smithsonian Institution",US,,,,Smithsonian Institution - Smithsonian National Museum of Natural History - Global Genome Initiative (GGI),x,USA,,Museum,Science
310,Marine_species,"Hafok, ",Sweden,,,,Hafok AB,x,Sweden,,Consultancy,Industry
311,Marine_species,"Harbor Branch Oceanographic Institute,  Florida Atlantic University",USA,,,,Florida Atlantic University - Harbor Branch Oceanographic Institute,,USA,,Research institute,Science
312,Marine_species,"HELCOM,  Helsinki",Finland,,,,HELCOM (Helsinki Convention on the Protection of the Marine Environment of the Baltic Sea Area),x,Finland,,Governmental body,Policy
313,Marine_species,"Ifremer,  Laboratoire des sciences de l’Environnement MARin (LEMAR)",France,,,,IFREMER Institut Français de Recherche pour l'Exploitation de la Mer - Laboratoire des sciences de l’Environnement MARin (LEMAR),x,,,,
314,Marine_species,"iMarine Project, ",Europe,,,,iMarine,,Europe,,Data infrastructure,Science
315,Marine_species,"iNaturalist ,  California Academy of Sciences",USA,,,,California Academy of Sciences,x,USA,,University,Science
316,Marine_species,"Information about non domestic animals keeping ,  Base de Données des Espèces Non Domestiques (BDEND)",France,,,,Bases de données des espèces non-domestiques (BDEND),x,France,,Data infrastructure,Science
317,Marine_species,"Information system on Aquatic Non-Indigenous and Cryptogenic Species (AquaNIS), ",Lithuania,,,,Information system on Aquatic Non-Indigenous and Cryptogenic Species (AquaNIS),,Global,,Data infrastructure,Science
318,Marine_species,"Institut de Recherche pour le Développement (IRD),  Centre de Recherche Halieutique Méditerranéenne et Tropicale",France,,,,IRD L'Institut de recherche pour le développement - Centre de Recherche Halieutique Méditerranéenne et Tropicale,x,France,,Research institute,Science
319,Marine_species,"Institut National de Recherche Halieutique (INRH), ",Morocco,,,,Institut National de Recherche Halieutique (INRH),x,Morocco,,Research institute,Science
320,Marine_species,"International Institute for Species Exploration, ",USA,,,,International Institute for Species Exploration,x,,,,
321,Marine_species,"keep abreast with changes in the taxonomy,  Institute for Marine Resources and Ecosystem Studies",Netherlands,,,,IMARES - Wageningen Marine Research (WUR),x,,,,
322,Marine_species,"Keep the nomenclature up-to-date,  Natural History Collections of Tyrolean State Museum Ferdinandeum",Austria,,,,Natural History Collections of Tyrolean State Museum Ferdinandeum,,Austria,,Museum,Science
323,Marine_species,"L’Agence des aires marines protégées, ",France,,,,L’Agence des aires marines protégées,x,France,,Governmental body,Policy
324,Marine_species,"MariLim Gesellschaft für Gewässeruntersuchung mbH, ",Germany,,,,MariLim GmbH,x,Germany,,Consultancy,Industry
325,Marine_species,"Marine Life Information Network (MarLIN), ",UK,,,,MarLIN (Marine Life Information Network),x,UK,,Data infrastructure,Science
326,Marine_species,"Marine Research Lab,  Zoological Institute RAS",Russia,,,,"Russian Academy of Sciences (RAS) - Zoological Institute, Marine Research Lab",x,Russia,,Research institute,Science
327,Marine_species,"Marine Resource Modelling Group,  University of Strathclyde Dept. Mathematics and Statistics",UK,,,,University of Strathclyde - Department of Mathematics and Statistics - Marine Resource Modelling Group,,UK,,University,Science
328,Marine_species,"Maurice Lamontagne Institute,  Fisheries and Oceans",Canada,,,,Government of Canada - Fisheries and Oceans Canada - Maurice Lamontagne Institute,x,Canada,,Research institute,Science
329,Marine_species,"Mikrotax.org - pforams,  University College London",UK,,,,University College London,,UK,,University,Science
330,Marine_species,"MIT Sea Grant College Program, ",USA,,,,Massachusetts Institute of Technology (MIT) - Sea Grant College Program,,USA,,Data infrastructure,Science
331,Marine_species,"National Academy of Sciences of Ukraine,  Institute of Biology of the Southern Seas (IBSS)",Ukraine,,,,National Academy of Sciences of Ukraine (NASU) - AO Kovalevsky Institute of Biology of the Southern Seas (IBSS),x,Ukraine,,Research institute,Science
332,Marine_species,"National benthic database,  University of Bordeaux",France,,,,University of Bordeaux - National benthic database,,France,,Data infrastructure,Science
333,Marine_species,"Nationalpark-Verwaltung Niedersächsisches Wattenmeer,  Wilhelmshaven",Germany,,,,Nationalpark Niedersächsisches Wattenmeer,x,Germany,,Other public authorities,Policy
334,Marine_species,"Natura Esperire/Experience Annalisa Tassini, ",Italy,,,,Natura Esperire/Experience Annalisa Tassini,x,Italy,,Other,Civil society
335,Marine_species,"Natural History Museum of Los Angeles County, ",USA,,,,NHM Natural History Museum of Los Angeles County,x,USA,,Museum,Science
336,Marine_species,"Natural History Museum Rotterdam,  Marine Invertebrates",Netherlands,,,,Natural History Museum Rotterdam (NMR) - Marine Invertebrates,x,Netherlands,,Museum,Science
337,Marine_species,"Observation.org, ",Netherlands,,,,"Observation.org, ",,Global,,Data infrastructure,Science
338,Marine_species,"Opale Surfcasting, ",France,,,,Opale Surfcasting,,Global,,Creative body,Civil society
339,Marine_species,"Open Tree of Life, ",USA,,,,Open Tree of Life,,Global,,Data infrastructure,Science
340,Marine_species,"PAPARA(ZZ)I Annotation tool,  Alfred Wegener Institute",Germany,,,,Alfred Wegener Institute for Polar and Marine Research (AWI) - PAPARA(ZZ)I Annotation tool,,Germany,,Data infrastructure,Science
341,Marine_species,"Pelagos & Assemble databases,  Station Biologique de Roscoff",France,,,,Station Biologique de Roscoff,,,,,
342,Marine_species,"PhD on taxonomy of cyclopoida,  University of Baghdad",Iraq,,,,University of Baghdad,,Iraq,,University,Science
343,Marine_species,"Referred to webservices - WoRMS data (through the Lifewatch Species Information Backbon) will be used for updating taxon names in the internal databases of the Cawthron Institute,  Cawthron Institute",New Zealand,,,,Cawthron Institute,,New Zealand,,Research institute,Science
344,Marine_species,"Resolve common names for Central & Northern California Ocean Observing System (CeNCOOS) ,  Research Institute",USA,,,,Central and Northern California Ocean Observing System (CeNCOOS),x,USA,,Data infrastructure,Science
345,Marine_species,"Russell Renka - Shell List,  Southeast Missouri State University",USA,,,,Southeast Missouri State University,,USA,,University,Science
346,Marine_species,"San Diego Supercomputer Center, ",USA,,,,"University of California, San Diego (UCSD) - San Diego Supercomputer Center",x,USA,,Research institute,Science
347,Marine_species,"School of Computer Science,  University of Manchester",UK,,,,University of Manchester - School of Computer Science,x,UK,,University,Science
348,Marine_species,"Scratchpads,  Natural History Museum (NHM)",UK,,,,NHM (Natural History Museum),x,UK,,Museum,Science
349,Marine_species,"SeaDataNet,  IMARES Wageningen UR",Netherlands,,,,IMARES - Wageningen Marine Research (WUR),,,,,
350,Marine_species,"Specimen seashells,  Conchology Inc.",Philippines,,,,Conchology Inc.,,Phillipines,,Company,Industry
351,Marine_species,"Sponge Barcoding Project, ",Germany,,,,Sponge Barcoding Project (SBP),,Global,,Data infrastructure,Science
352,Marine_species,"strandvondsten.nl,  Utrecht",The Netherlands,,,,strandvondsten.nl,,Netherlands,,Non-profit organization,Civil society
353,Marine_species,"Taxonome,  University of Sheffield",UK,,,,University of Sheffield,x,UK,,University,Science
354,Marine_species,"Taxonomical reference for encoders using the RBINS-collection database ,  Operationele Directie Natuurlijk Milieu",Belgium,,,,RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature),x,,,,
355,Marine_species,"The Crab Database (crabdatabase.info), ",Czech Republic,,,,crabdatabase.info,,Global,,Data infrastructure,Science
356,Marine_species,"The United States Antarctic Program at the National Museum of Natural History, ",USA,,,,National Museum of Natural History - US Antarctic Program,x,USA,,Museum,Science
357,Marine_species,"Unified Taxonomic Information Service (UTIS) ,  Botanic Garden and Botanical Museum Berlin-Dahlem",Germany,,,,Unified Taxonomic Information Service (UTIS),x,Europe,,Data infrastructure,Science
358,Marine_species,"Update taxonomy ,  Diving Canary Islands",Spain,,,,,,,,,
359,Marine_species,"Validate taxonomy of their marine species,  Government Department of Conservation Services",Bermuda,,,,,,,,,
360,Marine_species,"Wikipedia FR, ",France,,,,Wikipedia,,Global,,Data infrastructure,Science
361,Marine_species,"WikiProject on Gastropods. ,  Wikipedia",United States,,,,Wikipedia,x,Global,,Data infrastructure,Science
362,Marine_species,"WoRMS data will be used as taxonomic backbone for a collection of underwater photos - uses webservices,  Personal application",France,,,,personal,,,,,
363,Marine_regions,Global Fishing Watch,Global,,,,Global Fishing Watch,,Global,,Data infrastructure,Science
364,Marine_regions,Donut holes in international waters,Global,,,,Donut holes in international waters,,Global,,Data infrastructure,Science
365,Marine_regions,Ocean Health Index,Global,,,,Ocean Health Index,,Global,,Other,Civil society
366,Marine_regions,National Centers for Environmental Information < NOAA,USA,,,,NOAA National Oceanic And Atmospheric Administration,,USA,,Governmental body,Policy
367,Marine_regions,National Centers for Environmental Information < NOAA,USA,,,,NOAA National Oceanic And Atmospheric Administration,,USA,,Governmental body,Policy
368,Marine_regions,National Centers for Environmental Information < NOAA,USA,,,,NOAA National Oceanic And Atmospheric Administration,,USA,,Governmental body,Policy
369,Marine_regions,National Centers for Environmental Information < NOAA,USA,,,,NOAA National Oceanic And Atmospheric Administration,,USA,,Governmental body,Policy
370,Marine_regions,Food and Agriculture Organization of the United Nations (FAO),Global,,,,FAO (Food and Agriculture Organization of the United Nations),,Global,,UN organization,Policy
371,Marine_regions,Rolling Deck to Repository (R2R),Global,,,,Rolling Deck to Repository (R2R),,Global,,Data infrastructure,Science
372,Marine_regions,Harpoon 3 Professional (H3MilSim),USA,,,,Harpoon 3 Professional (H3MilSim),,USA,,Company,Industry
373,Marine_regions,FleetMon,Global,,,,FleetMon,,Global,,Data infrastructure,Science
374,Marine_regions,Australiane Government - Bureau of Meteorology,Australia,,,,Australian Government - Bureau of Meteorology,,Australia,,Governmental body,Policy
375,Marine_regions,European Atlas of the Seas,Europe,,,,EU - European Commission - European Atlas of the Seas,,Europe,,Data infrastructure,Science
376,Marine_regions,?,,,,,,,,,,
377,Marine_regions,InterRdge Vents Database,Global,,,,InterRdge Vents Database,,Global,,Data infrastructure,Science
378,Marine_regions,Sea Around US,Canada,,,,Sea Around US,,,,,
379,Marine_regions,?,,,,,,,,,,
380,Marine_regions,Ocean Biogeographic Information System (OBIS),Global,,,,OBIS Ocean Biogeographic Information System,,Global,,Data infrastructure,Science
381,Marine_regions,?,,,,,,,,,,
382,Marine_regions,World Register of Marine Species (WoRMS),Global,,,,WoRMS World Register of Marine Species,,Global,,Data infrastructure,Science
383,Marine_regions,?,,,,,,,,,,
384,Marine_regions,Seamounts online,Global,,,,Seamounts online,,Global,,Data infrastructure,Science
385,Marine_regions,?,,,,,,,,,,
386,Marine_regions,Geology Without Limits,Global,,,,Geology Without Limits Group,,Global,,Company,Industry
387,Marine_regions,Australian Government - Bureau of Meteorology,Australia,,,,Australian Government - Bureau of Meteorology,,Australia,,Governmental body,Policy
388,Marine_regions,?,,,,,,,,,,
389,Marine_regions,MESP,USA,,,,Michigan Education Savings Program (MESP),,USA,,NGO,Civil society
390,Marine_regions,4C Offshore Ltd.,UK,,,,4C Offshore Ltd.,,UK,,Company,Industry
391,Marine_regions,Natural Earth,Global,,,,Natural Earth,,Global,,Data infrastructure,Science
392,Marine_regions,GOV.UK,UK,,,,UK government,,UK,,Governmental body,Policy
393,Marine_regions,?,,,,,,,,,,
394,Marine_regions,European Union - Joint Research Centre,Europe,,,,EU - European Commission - Joint Research Centre,,Europe,,Research institute,Science
395,Marine_regions,personal github repository,,,,,personal,,,,,
396,Marine_regions,The BOBLME MPA Atlas,Global,,,,The BOBLME MPA Atlas,,Global,,Data infrastructure,Science
397,Marine_regions,GEO BON,Germany,,,,GEO BON (Group on Earth Observations Biodiversity Observation Network),,Germany,,Data infrastructure,Science
398,Marine_regions,Open Street Map Foundation,UK,,,,Open Street Map Foundation,,Global,,Data infrastructure,Science
399,Marine_regions,ILVO,Belgium,,,,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",,Belgium,x,Research institute,Science
400,Marine_regions,International Atomic Energy Agency (IAEA),Austria,,,,International Atomic Energy Agency (IAEA),,Global,,Intergovernmental body,Policy
401,Marine_regions,S&P Global Inc.,USA,,,,S&P Global Inc.,,USA,,Company,Policy
402,Marine_regions,International Council on Clean Transportation,Global,,,,International Council on Clean Transportation (ICCT),,Global,,Non-profit organization,Civil society
403,Marine_regions,Oceana,Global,,,,Oceana,,Spain,,Non-profit organization,Civil society
404,Marine_regions,Akvaplan-niva,Norway,,,,Akvaplan Niva,,Norway,,Consultancy,Industry
405,Marine_regions,Australian Antarctic Division,Australia,,,,Australian Government - Department of the Environment and Energy - Australian Antarctic Division (AAD),,Australia,,Research Institute,Science
406,Marine_regions,Australian National University,Australia,,,,Australian National University,,Australia,,University,Science
407,Marine_regions,Aarhus University,Denmark,,,,Aarhus University,,Denmark,,University,Science
408,Marine_regions,AWI,Germany,,,,Alfred Wegener Institute for Polar and Marine Research (AWI),,Germany,,Research institute,Science
409,Marine_regions,Bangor University,UK,,,,Bangor University,,UK,,University,Science
410,Marine_regions,Cardiff University,UK,,,,Cardiff University,,UK,,University,Science
411,Marine_regions,CEFAS,UK,,,,"CEFAS (Centre for Environment, Fisheries and Aquaculture Science)",,UK,,Research institute,Science
412,Marine_regions,CRIMARIO2,Europe,,,,CRIMARIO,,Europe,,Intergovernmental body,Policy
413,Marine_regions,CSIRO,Australia,,,,CSIRO (Commonwealth Scientific and Industrial Research Organisation),,Australia,,Governmental body,Policy
414,Marine_regions,CNRS,France,,,,CNRS,,France,,Research institute,Science
415,Marine_regions,Columbia University,USA,,,,Columbia University,,USA,,University,Science
416,Marine_regions,Dalhousie University,Canada,,,,Dalhousie University,,Canada,,University,Science
417,Marine_regions,DHI,Global,,,,DHI Group,,,,,
418,Marine_regions,Duke University,USA,,,,Duke University,,USA,,University,Science
419,Marine_regions,EarthScope-Oceans,Global,,,,EarthScope-Oceans,,Global,,research network,Science
420,Marine_regions,Free University of Brussels,Belgium,,,,Free University of Brussels (VUB),,Belgium,o,University,Science
421,Marine_regions,Fort Lewis College,USA,,,,Fort Lewis College,,USA,,University,Science
422,Marine_regions,Ghent University,Belgium,,,,Ghent University,,Belgium,x,University,Science
423,Marine_regions,Global Biodiversity Information Facility,Global,,,,GBIF Global Biodiversity Information Facility,x,Global,,Data infrastructure,Science
424,Marine_regions,Heidelberg University,Germany,,,,Heidelberg University,,Germany,,University,Science
425,Marine_regions,Hokkaido University,Japan,,,,Hokkaido University,,Japan,,University,Science
426,Marine_regions,IFREMER,France,,,,IFREMER - DYNECO (Unité Dynamiques des Ecosystèmes Côtiers),,France,,Research institute,Science
427,Marine_regions,IMARES,Netherlands,,,,IMARES (Institute for Marine Resources and Ecosystem Studies),,,,,
428,Marine_regions,Indian National Centre for Ocean Information Services,India,,,,India government - Indian National Center for Ocean Information Services (INCOIS) ,,India,,Research institute,Science
429,Marine_regions,Institute of Marine Research - Havforskningsinstituttet,Norway,,,,Institute of Marine Research - Havforskningsinstituttet,,,,,
430,Marine_regions,Irish Marine Institute,Ireland,,,,Marine Institute,,Ireland,,Research institute,Science
431,Marine_regions,James Cook University,Australia,,,,James Cook University,,Australia,,University,Science
432,Marine_regions,Kenya Marine and Fisheries Research Institute,Kenya,,,,Kenya Marine and Fisheries Research Institute (KMFRI),,Kenya,,Research institute,Science
433,Marine_regions,Leibniz Institute of Marine Sciences,Germany,,,,GEOMAR Helmholtz Centre for Ocean Research Kiel,,Germany,,Research institute,Science
434,Marine_regions,Marine and Environmental Sciences Centre,Portugal,,,,MARE (Marine and Environmental Sciences Centre),x,,,,
435,Marine_regions,NIOZ,Netherlands,,,,NIOZ Royal Netherlands Institute for Sea Research,,Netherlands,,Research institute,Science
436,Marine_regions,Pacific Community,Global,,,,Pacific Community,,Global,,Intergovernmental body,Policy
437,Marine_regions,Plymouth Marine Laboratory,UK,,,,PML (Plymouth Marine Laboratory),,,,,
438,Marine_regions,Project Drawdown,USA,,,,,,,,,
439,Marine_regions,Royal United Services Institute for Defence and Security Studies,UK,,,,Royal United Services Institute (RUSI),,UK,,Governmental body,Policy
440,Marine_regions,Scripps Institution of Oceanography,USA,,,,"University of California, San Diego (UCSD) - Scripps Institution of Oceanography",,USA,,Research institute,Science
441,Marine_regions,Universidad Nacional Autónoma de México,Mexico,,,,National Autonomous University of Mexico (UNAM),,Mexico,,University,Science
442,Marine_regions,University of Delaware,USA,,,,University of Delaware,,USA,,University,Science
443,Marine_regions,University of Hawaii,USA,,,,University of Hawaii,,,,,
444,Marine_regions,"University of Tasmania, Australia",Australia,,,,University of Tasmania,,Australia,,University,Science
445,Marine_regions,University of the West Indies,Jamaica,,,,University of the West Indies,,Jamaica,,University,Science
446,Marine_regions,University of Washington,USA,,,,University of Washington,,USA,,University,Science
